Runde,Dato,Dag,Tid,Hjemmelag,Hjemme,Borte,Bortelag,Bane,Kampnr,Sesong
1,14-03-2009,lørdag,20:00:00,Stabæk,1,1,Lillestrøm,Telenor Arena,99120001008,2009
1,15-03-2009,søndag,18:00:00,Bodø/Glimt,1,1,Fredrikstad,Aspmyra Kgb,99120001001,2009
1,15-03-2009,søndag,18:00:00,Viking,3,0,Odd,SR-Bank Arena,99120001004,2009
1,15-03-2009,søndag,18:00:00,Lyn Oslo,0,1,Molde,Ullevaal Stadion,99120001007,2009
1,15-03-2009,søndag,18:00:00,Strømsgodset,3,3,Start,Marienlyst stadion,99120001002,2009
1,15-03-2009,søndag,18:00:00,Aalesund,1,1,Tromsø,Color Line Stadion,99120001005,2009
1,15-03-2009,søndag,20:00:00,Rosenborg,3,0,Vålerenga,Lerkendal stadion,99120001006,2009
1,16-03-2009,mandag,19:00:00,Sandefjord,3,1,Brann,Komplett Arena,99120001003,2009
2,21-03-2009,lørdag,16:00:00,Vålerenga,1,1,Aalesund,Ullevaal Stadion,99120001010,2009
2,22-03-2009,søndag,18:00:00,Molde,3,1,Bodø/Glimt,Aker stadion,99120001009,2009
2,22-03-2009,søndag,18:00:00,Odd,2,0,Sandefjord,Skagerak Arena,99120001015,2009
2,22-03-2009,søndag,18:00:00,Lillestrøm,1,1,Viking,Åråsen stadion,99120001014,2009
2,22-03-2009,søndag,18:00:00,Fredrikstad,2,0,Strømsgodset,Fredrikstad stadion,99120001016,2009
2,22-03-2009,søndag,18:00:00,Start,1,1,Lyn Oslo,Sparebanken Sør Arena,99120001011,2009
2,22-03-2009,søndag,20:00:00,Brann,1,1,Stabæk,Brann stadion,99120001013,2009
2,23-03-2009,mandag,19:00:00,Tromsø,2,4,Rosenborg,Alfheim stadion,99120001012,2009
3,04-04-2009,lørdag,16:00:00,Viking,0,1,Start,SR-Bank Arena,99120001021,2009
3,05-04-2009,søndag,18:00:00,Strømsgodset,0,2,Molde,Marienlyst stadion,99120001019,2009
3,05-04-2009,søndag,18:00:00,Bodø/Glimt,0,2,Lyn Oslo,Aspmyra Kgb,99120001018,2009
3,05-04-2009,søndag,18:00:00,Stabæk,3,3,Odd,Telenor Arena,99120001024,2009
3,05-04-2009,søndag,18:00:00,Aalesund,3,1,Lillestrøm,Color Line Stadion,99120001022,2009
3,05-04-2009,søndag,18:00:00,Sandefjord,1,1,Fredrikstad,Komplett Arena,99120001020,2009
3,05-04-2009,søndag,20:00:00,Rosenborg,1,1,Brann,Lerkendal stadion,99120001023,2009
3,06-04-2009,mandag,19:00:00,Vålerenga,2,4,Tromsø,Ullevaal Stadion,99120001017,2009
4,08-04-2009,onsdag,18:00:00,Start,1,2,Rosenborg,Sparebanken Sør Arena,99120001027,2009
4,13-04-2009,mandag,18:00:00,Brann,2,4,Tromsø,Brann stadion,99120001029,2009
4,13-04-2009,mandag,18:00:00,Odd,4,2,Aalesund,Skagerak Arena,99120001031,2009
4,13-04-2009,mandag,18:00:00,Molde,1,1,Sandefjord,Aker stadion,99120001025,2009
4,13-04-2009,mandag,18:00:00,Lyn Oslo,0,0,Viking,Ullevaal Stadion,99120001028,2009
4,13-04-2009,mandag,18:00:00,Bodø/Glimt,1,0,Strømsgodset,Aspmyra stadion,99120001026,2009
4,13-04-2009,mandag,20:00:00,Lillestrøm,1,2,Vålerenga,Åråsen stadion,99120001030,2009
4,14-04-2009,tirsdag,19:00:00,Fredrikstad,0,1,Stabæk,Fredrikstad stadion,99120001032,2009
5,18-04-2009,lørdag,16:00:00,Tromsø,1,1,Lillestrøm,Alfheim stadion,99120001039,2009
5,19-04-2009,søndag,18:00:00,Sandefjord,1,1,Bodø/Glimt,Komplett Arena,99120001035,2009
5,19-04-2009,søndag,18:00:00,Strømsgodset,1,1,Lyn Oslo,Marienlyst stadion,99120001034,2009
5,19-04-2009,søndag,18:00:00,Rosenborg,1,1,Odd,Lerkendal stadion,99120001038,2009
5,19-04-2009,søndag,18:00:00,Aalesund,1,1,Start,Color Line Stadion,99120001037,2009
5,19-04-2009,søndag,18:00:00,Stabæk,2,3,Molde,Telenor Arena,99120001040,2009
5,19-04-2009,søndag,20:00:00,Vålerenga,1,1,Brann,Ullevaal Stadion,99120001033,2009
5,20-04-2009,mandag,19:00:00,Viking,1,2,Fredrikstad,SR-Bank Arena,99120001036,2009
6,25-04-2009,lørdag,16:00:00,Molde,1,2,Viking,Aker stadion,99120001041,2009
6,26-04-2009,søndag,18:00:00,Odd,2,2,Vålerenga,Skagerak Arena,99120001047,2009
6,26-04-2009,søndag,18:00:00,Fredrikstad,0,1,Aalesund,Fredrikstad stadion,99120001048,2009
6,26-04-2009,søndag,18:00:00,Lyn Oslo,1,2,Sandefjord,Ullevaal Stadion,99120001045,2009
6,26-04-2009,søndag,18:00:00,Strømsgodset,1,0,Stabæk,Marienlyst stadion,99120001043,2009
6,26-04-2009,søndag,18:00:00,Start,3,1,Tromsø,Sparebanken Sør Arena,99120001044,2009
6,26-04-2009,søndag,20:00:00,Lillestrøm,1,2,Rosenborg,Åråsen stadion,99120001046,2009
6,27-04-2009,mandag,19:00:00,Bodø/Glimt,0,2,Brann,Aspmyra stadion,99120001042,2009
7,30-04-2009,torsdag,19:00:00,Brann,3,1,Lillestrøm,Brann stadion,99120001055,2009
7,02-05-2009,lørdag,16:00:00,Aalesund,0,2,Molde,Color Line Stadion,99120001052,2009
7,03-05-2009,søndag,18:00:00,Tromsø,1,1,Odd,Alfheim stadion,99120001054,2009
7,03-05-2009,søndag,18:00:00,Vålerenga,2,3,Start,Ullevaal Stadion,99120001049,2009
7,03-05-2009,søndag,18:00:00,Viking,3,2,Bodø/Glimt,SR-Bank Arena,99120001051,2009
7,03-05-2009,søndag,18:00:00,Stabæk,0,0,Lyn Oslo,Telenor Arena,99120001056,2009
7,03-05-2009,søndag,18:00:00,Sandefjord,1,0,Strømsgodset,Komplett Arena,99120001050,2009
7,03-05-2009,søndag,20:00:00,Rosenborg,1,0,Fredrikstad,Lerkendal stadion,99120001053,2009
8,06-05-2009,onsdag,19:00:00,Sandefjord,3,1,Viking,Komplett Arena,99120001060,2009
8,06-05-2009,onsdag,19:00:00,Strømsgodset,2,0,Aalesund,Marienlyst stadion,99120001059,2009
8,06-05-2009,onsdag,19:00:00,Bodø/Glimt,2,1,Stabæk,Aspmyra stadion,99120001058,2009
8,06-05-2009,onsdag,19:00:00,Molde,0,3,Vålerenga,Aker stadion,99120001057,2009
8,06-05-2009,onsdag,19:00:00,Start,3,0,Lillestrøm,Sparebanken Sør Arena,99120001061,2009
8,06-05-2009,onsdag,21:15:00,Lyn Oslo,1,1,Rosenborg,Ullevaal Stadion,99120001062,2009
8,07-05-2009,torsdag,19:00:00,Fredrikstad,3,0,Tromsø,Fredrikstad stadion,99120001064,2009
8,09-05-2009,lørdag,16:00:00,Odd,3,1,Brann,Skagerak Arena,99120001063,2009
9,16-05-2009,lørdag,16:00:00,Vålerenga,2,1,Fredrikstad,Ullevaal Stadion,99120001065,2009
9,16-05-2009,lørdag,16:00:00,Brann,1,1,Start,Brann stadion,99120001070,2009
9,16-05-2009,lørdag,18:00:00,Aalesund,2,0,Lyn Oslo,Color Line Stadion,99120001067,2009
9,16-05-2009,lørdag,18:00:00,Stabæk,4,1,Sandefjord,Telenor Arena,99120001072,2009
9,16-05-2009,lørdag,18:00:00,Viking,1,1,Strømsgodset,SR-Bank Arena,99120001066,2009
9,16-05-2009,lørdag,18:00:00,Lillestrøm,1,1,Odd,Åråsen stadion,99120001071,2009
9,16-05-2009,lørdag,18:00:00,Tromsø,0,0,Bodø/Glimt,Alfheim stadion,99120001069,2009
9,16-05-2009,lørdag,19:00:00,Rosenborg,2,2,Molde,Lerkendal stadion,99120001068,2009
10,19-05-2009,tirsdag,20:00:00,Sandefjord,2,2,Rosenborg,Komplett Arena,99120001076,2009
10,21-05-2009,torsdag,16:00:00,Molde,1,1,Tromsø,Aker stadion,99120001073,2009
10,21-05-2009,torsdag,18:00:00,Bodø/Glimt,3,0,Aalesund,Aspmyra stadion,99120001074,2009
10,21-05-2009,torsdag,18:00:00,Strømsgodset,1,2,Lillestrøm,Marienlyst stadion,99120001075,2009
10,21-05-2009,torsdag,18:00:00,Viking,2,2,Stabæk,SR-Bank Arena,99120001077,2009
10,21-05-2009,torsdag,18:00:00,Start,1,1,Odd,Sparebanken Sør Arena,99120001078,2009
10,21-05-2009,torsdag,18:00:00,Fredrikstad,2,4,Brann,Fredrikstad stadion,99120001080,2009
10,21-05-2009,torsdag,20:00:00,Lyn Oslo,4,4,Vålerenga,Ullevaal Stadion,99120001079,2009
11,24-05-2009,søndag,18:00:00,Vålerenga,1,0,Strømsgodset,Ullevaal Stadion,99120001081,2009
11,24-05-2009,søndag,18:00:00,Tromsø,1,0,Lyn Oslo,Alfheim stadion,99120001085,2009
11,24-05-2009,søndag,18:00:00,Lillestrøm,2,1,Sandefjord,Åråsen stadion,99120001087,2009
11,24-05-2009,søndag,18:00:00,Odd,2,0,Fredrikstad,Skagerak Arena,99120001088,2009
11,24-05-2009,søndag,18:00:00,Start,4,0,Bodø/Glimt,Sparebanken Sør Arena,99120001082,2009
11,24-05-2009,søndag,20:00:00,Rosenborg,1,0,Viking,Lerkendal stadion,99120001084,2009
11,25-05-2009,mandag,19:00:00,Aalesund,1,0,Stabæk,Color Line Stadion,99120001083,2009
11,28-05-2009,torsdag,19:45:00,Brann,2,0,Molde,Brann stadion,99120001086,2009
12,01-06-2009,mandag,16:00:00,Fredrikstad,1,0,Start,Fredrikstad stadion,99120001096,2009
12,01-06-2009,mandag,18:00:00,Lyn Oslo,1,1,Lillestrøm,Ullevaal Stadion,99120001094,2009
12,01-06-2009,mandag,18:00:00,Bodø/Glimt,0,4,Rosenborg,Aspmyra stadion,99120001090,2009
12,01-06-2009,mandag,18:00:00,Stabæk,2,0,Tromsø,Telenor Arena,99120001095,2009
12,01-06-2009,mandag,18:00:00,Sandefjord,1,2,Aalesund,Komplett Arena,99120001092,2009
12,01-06-2009,mandag,18:00:00,Molde,2,1,Odd,Aker stadion,99120001089,2009
12,01-06-2009,mandag,20:00:00,Viking,0,3,Vålerenga,SR-Bank Arena,99120001093,2009
12,02-06-2009,tirsdag,19:00:00,Strømsgodset,2,1,Brann,Marienlyst stadion,99120001091,2009
13,13-06-2009,lørdag,20:00:00,Rosenborg,3,0,Strømsgodset,Lerkendal stadion,99120001100,2009
13,14-06-2009,søndag,18:00:00,Brann,2,1,Lyn Oslo,Brann stadion,99120001102,2009
13,14-06-2009,søndag,18:00:00,Odd,4,0,Bodø/Glimt,Skagerak Arena,99120001104,2009
13,14-06-2009,søndag,18:00:00,Aalesund,0,1,Viking,Color Line Stadion,99120001099,2009
13,14-06-2009,søndag,18:00:00,Lillestrøm,4,2,Fredrikstad,Åråsen stadion,99120001103,2009
13,14-06-2009,søndag,18:00:00,Tromsø,1,1,Sandefjord,Alfheim stadion,99120001101,2009
13,14-06-2009,søndag,20:00:00,Vålerenga,0,1,Stabæk,Ullevaal Stadion,99120001097,2009
13,15-06-2009,mandag,19:00:00,Start,2,2,Molde,Sparebanken Sør Arena,99120001098,2009
14,20-06-2009,lørdag,16:00:00,Sandefjord,0,2,Vålerenga,Komplett Arena,99120001108,2009
14,20-06-2009,lørdag,18:00:00,Aalesund,0,3,Rosenborg,Color Line Stadion,99120001110,2009
14,21-06-2009,søndag,18:00:00,Lyn Oslo,1,1,Odd,Ullevaal Stadion,99120001111,2009
14,21-06-2009,søndag,18:00:00,Stabæk,5,0,Start,Telenor Arena,99120001112,2009
14,21-06-2009,søndag,18:00:00,Strømsgodset,2,1,Tromsø,Marienlyst stadion,99120001107,2009
14,21-06-2009,søndag,18:00:00,Bodø/Glimt,1,1,Lillestrøm,Aspmyra stadion,99120001106,2009
14,21-06-2009,søndag,18:00:00,Molde,2,0,Fredrikstad,Aker stadion,99120001105,2009
14,21-06-2009,søndag,20:00:00,Viking,1,1,Brann,SR-Bank Arena,99120001109,2009
15,24-06-2009,onsdag,19:00:00,Vålerenga,2,1,Bodø/Glimt,Ullevaal Stadion,99120001113,2009
15,24-06-2009,onsdag,19:00:00,Start,3,2,Sandefjord,Sparebanken Sør Arena,99120001114,2009
15,24-06-2009,onsdag,19:00:00,Tromsø,0,1,Viking,Alfheim stadion,99120001116,2009
15,24-06-2009,onsdag,19:00:00,Odd,2,1,Strømsgodset,Skagerak Arena,99120001119,2009
15,24-06-2009,onsdag,19:00:00,Fredrikstad,2,1,Lyn Oslo,Telenor Arena,99120001120,2009
15,24-06-2009,onsdag,21:15:00,Rosenborg,1,0,Stabæk,Lerkendal stadion,99120001115,2009
15,25-06-2009,torsdag,19:00:00,Lillestrøm,0,1,Molde,Åråsen stadion,99120001118,2009
15,25-06-2009,torsdag,21:00:00,Brann,2,1,Aalesund,Brann stadion,99120001117,2009
16,28-06-2009,søndag,18:00:00,Tromsø,3,1,Aalesund,Alfheim stadion,99120001124,2009
16,28-06-2009,søndag,18:00:00,Molde,4,0,Lyn Oslo,Aker stadion,99120001121,2009
16,28-06-2009,søndag,18:00:00,Strømsgodset,1,1,Sandefjord,Marienlyst stadion,99120001123,2009
16,28-06-2009,søndag,18:00:00,Odd,2,2,Viking,Skagerak Arena,99120001126,2009
16,28-06-2009,søndag,18:00:00,Fredrikstad,2,2,Bodø/Glimt,Fredrikstad stadion,99120001128,2009
16,28-06-2009,søndag,20:00:00,Vålerenga,1,2,Rosenborg,Ullevaal Stadion,99120001122,2009
16,29-06-2009,mandag,19:00:00,Stabæk,2,1,Brann,Telenor Arena,99120001127,2009
16,01-07-2009,onsdag,19:35:00,Lillestrøm,3,2,Start,Åråsen stadion,99120001125,2009
17,04-07-2009,lørdag,16:00:00,Sandefjord,1,2,Odd,Komplett Arena,99120001130,2009
17,05-07-2009,søndag,18:00:00,Bodø/Glimt,2,4,Molde,Aspmyra stadion,99120001129,2009
17,05-07-2009,søndag,18:00:00,Lyn Oslo,2,2,Stabæk,Ullevaal Stadion,99120001135,2009
17,05-07-2009,søndag,18:00:00,Viking,4,2,Lillestrøm,SR-Bank Arena,99120001131,2009
17,05-07-2009,søndag,18:00:00,Start,2,2,Strømsgodset,Sparebanken Sør Arena,99120001132,2009
17,05-07-2009,søndag,20:00:00,Aalesund,3,2,Vålerenga,Color Line Stadion,99120001133,2009
17,06-07-2009,mandag,19:00:00,Brann,2,1,Fredrikstad,Brann stadion,99120001136,2009
17,23-09-2009,onsdag,20:45:00,Rosenborg,0,0,Tromsø,Lerkendal stadion,99120001134,2009
18,11-07-2009,lørdag,18:00:00,Stabæk,2,0,Viking,Telenor Arena,99120001143,2009
18,12-07-2009,søndag,18:00:00,Lillestrøm,1,1,Aalesund,Åråsen stadion,99120001141,2009
18,12-07-2009,søndag,18:00:00,Odd,1,2,Start,Skagerak Arena,99120001142,2009
18,12-07-2009,søndag,18:00:00,Strømsgodset,0,1,Rosenborg,Marienlyst stadion,99120001138,2009
18,12-07-2009,søndag,18:00:00,Lyn Oslo,0,1,Bodø/Glimt,Ullevaal Stadion,99120001139,2009
18,12-07-2009,søndag,18:00:00,Fredrikstad,1,2,Sandefjord,Fredrikstad stadion,99120001144,2009
18,12-07-2009,søndag,20:00:00,Molde,5,2,Brann,Aker stadion,99120001137,2009
18,13-07-2009,mandag,19:00:00,Tromsø,2,0,Vålerenga,Alfheim stadion,99120001140,2009
19,25-07-2009,lørdag,19:45:00,Start,2,2,Stabæk,Sparebanken Sør Arena,99120001148,2009
19,26-07-2009,søndag,18:00:00,Vålerenga,0,3,Odd,Ullevaal Stadion,99120001145,2009
19,26-07-2009,søndag,18:00:00,Sandefjord,1,1,Molde,Komplett Arena,99120001146,2009
19,26-07-2009,søndag,18:00:00,Viking,5,2,Lyn Oslo,SR-Bank Arena,99120001147,2009
19,26-07-2009,søndag,18:00:00,Brann,4,2,Bodø/Glimt,Brann stadion,99120001152,2009
19,26-07-2009,søndag,18:00:00,Tromsø,2,1,Strømsgodset,Alfheim stadion,99120001151,2009
19,26-07-2009,søndag,20:00:00,Rosenborg,2,1,Lillestrøm,Lerkendal stadion,99120001150,2009
19,27-07-2009,mandag,19:00:00,Aalesund,1,1,Fredrikstad,Color Line Stadion,99120001149,2009
20,01-08-2009,lørdag,16:00:00,Molde,8,1,Start,Aker stadion,99120001153,2009
20,02-08-2009,søndag,18:00:00,Strømsgodset,3,0,Vålerenga,Marienlyst stadion,99120001155,2009
20,02-08-2009,søndag,18:00:00,Lillestrøm,2,2,Tromsø,Åråsen stadion,99120001157,2009
20,02-08-2009,søndag,18:00:00,Stabæk,3,0,Aalesund,Telenor Arena,99120001159,2009
20,02-08-2009,søndag,18:00:00,Bodø/Glimt,1,0,Sandefjord,Aspmyra stadion,99120001154,2009
20,02-08-2009,søndag,18:00:00,Fredrikstad,1,0,Viking,Fredrikstad stadion,99120001160,2009
20,02-08-2009,søndag,20:00:00,Odd,1,1,Rosenborg,Skagerak Arena,99120001158,2009
20,03-08-2009,mandag,19:00:00,Lyn Oslo,2,2,Brann,Ullevaal Stadion,99120001156,2009
21,15-08-2009,lørdag,16:00:00,Rosenborg,2,0,Bodø/Glimt,Lerkendal stadion,99120001166,2009
21,15-08-2009,lørdag,19:00:00,Tromsø,0,0,Stabæk,Alfheim stadion,99120001167,2009
21,16-08-2009,søndag,18:00:00,Brann,4,2,Strømsgodset,Brann stadion,99120001168,2009
21,16-08-2009,søndag,18:00:00,Sandefjord,2,1,Lyn Oslo,Komplett Arena,99120001162,2009
21,16-08-2009,søndag,18:00:00,Start,1,0,Fredrikstad,Sparebanken Sør Arena,99120001164,2009
21,16-08-2009,søndag,18:00:00,Aalesund,1,2,Odd,Color Line Stadion,99120001165,2009
21,16-08-2009,søndag,20:00:00,Vålerenga,0,1,Lillestrøm,Ullevaal Stadion,99120001161,2009
21,17-08-2009,mandag,19:00:00,Viking,2,1,Molde,SR-Bank Arena,99120001163,2009
22,21-08-2009,fredag,19:00:00,Fredrikstad,1,4,Rosenborg,Fredrikstad stadion,99120001176,2009
22,22-08-2009,lørdag,16:00:00,Lillestrøm,2,1,Strømsgodset,Åråsen stadion,99120001173,2009
22,22-08-2009,lørdag,19:00:00,Molde,3,1,Aalesund,Aker stadion,99120001169,2009
22,23-08-2009,søndag,18:00:00,Lyn Oslo,4,1,Start,Ullevaal Stadion,99120001171,2009
22,23-08-2009,søndag,18:00:00,Odd,1,0,Tromsø,Skagerak Arena,99120001174,2009
22,23-08-2009,søndag,18:00:00,Bodø/Glimt,2,0,Viking,Aspmyra stadion,99120001170,2009
22,23-08-2009,søndag,20:00:00,Stabæk,3,2,Vålerenga,Telenor Arena,99120001175,2009
22,24-08-2009,mandag,19:00:00,Brann,0,1,Sandefjord,Brann stadion,99120001172,2009
23,29-08-2009,lørdag,16:00:00,Vålerenga,2,1,Molde,Ullevaal Stadion,99120001177,2009
23,30-08-2009,søndag,18:00:00,Tromsø,2,0,Fredrikstad,Alfheim stadion,99120001183,2009
23,30-08-2009,søndag,18:00:00,Aalesund,1,1,Bodø/Glimt,Color Line Stadion,99120001181,2009
23,30-08-2009,søndag,18:00:00,Viking,2,2,Sandefjord,SR-Bank Arena,99120001179,2009
23,30-08-2009,søndag,18:00:00,Strømsgodset,3,1,Odd,Marienlyst stadion,99120001178,2009
23,30-08-2009,søndag,20:00:00,Start,0,1,Brann,Sparebanken Sør Arena,99120001180,2009
23,31-08-2009,mandag,19:00:00,Rosenborg,4,1,Lyn Oslo,Lerkendal stadion,99120001182,2009
23,31-08-2009,mandag,19:00:00,Lillestrøm,1,2,Stabæk,Åråsen stadion,99120001184,2009
24,12-09-2009,lørdag,16:00:00,Fredrikstad,3,1,Vålerenga,Fredrikstad stadion,99120001192,2009
24,13-09-2009,søndag,18:00:00,Molde,2,1,Strømsgodset,Aker stadion,99120001185,2009
24,13-09-2009,søndag,18:00:00,Odd,2,3,Lillestrøm,Skagerak Arena,99120001190,2009
24,13-09-2009,søndag,18:00:00,Sandefjord,2,0,Tromsø,Komplett Arena,99120001187,2009
24,13-09-2009,søndag,18:00:00,Lyn Oslo,0,2,Aalesund,Ullevaal Stadion,99120001188,2009
24,13-09-2009,søndag,18:00:00,Bodø/Glimt,1,1,Start,Aspmyra Kgb,99120001186,2009
24,13-09-2009,søndag,20:00:00,Stabæk,1,2,Rosenborg,Telenor Arena,99120001191,2009
24,14-09-2009,mandag,19:00:00,Brann,1,1,Viking,Brann stadion,99120001189,2009
25,19-09-2009,lørdag,16:00:00,Odd,1,2,Stabæk,Skagerak Arena,99120001200,2009
25,19-09-2009,lørdag,19:00:00,Aalesund,3,0,Brann,Color Line Stadion,99120001196,2009
25,20-09-2009,søndag,18:00:00,Tromsø,1,0,Molde,Alfheim stadion,99120001198,2009
25,20-09-2009,søndag,18:00:00,Rosenborg,4,0,Sandefjord,Lerkendal stadion,99120001197,2009
25,20-09-2009,søndag,18:00:00,Strømsgodset,4,1,Fredrikstad,Marienlyst stadion,99120001194,2009
25,20-09-2009,søndag,18:00:00,Lillestrøm,2,2,Bodø/Glimt,Åråsen stadion,99120001199,2009
25,20-09-2009,søndag,20:00:00,Vålerenga,4,1,Lyn Oslo,Ullevaal Stadion,99120001193,2009
25,21-09-2009,mandag,19:00:00,Start,1,1,Viking,Sparebanken Sør Arena,99120001195,2009
26,26-09-2009,lørdag,16:00:00,Fredrikstad,1,0,Lillestrøm,Fredrikstad stadion,99120001208,2009
26,27-09-2009,søndag,18:00:00,Bodø/Glimt,0,2,Vålerenga,Aspmyra Kgb,99120001202,2009
26,27-09-2009,søndag,18:00:00,Viking,1,1,Aalesund,SR-Bank Arena,99120001204,2009
26,27-09-2009,søndag,18:00:00,Stabæk,3,1,Strømsgodset,Telenor Arena,99120001207,2009
26,27-09-2009,søndag,18:00:00,Lyn Oslo,0,1,Tromsø,Ullevaal Stadion,99120001205,2009
26,27-09-2009,søndag,18:00:00,Sandefjord,1,0,Start,Komplett Arena,99120001203,2009
26,27-09-2009,søndag,20:00:00,Molde,0,2,Rosenborg,Aker stadion,99120001201,2009
26,28-09-2009,mandag,19:00:00,Brann,4,2,Odd,Brann stadion,99120001206,2009
27,03-10-2009,lørdag,16:00:00,Strømsgodset,3,0,Bodø/Glimt,NA,99120001210,2009
27,03-10-2009,lørdag,18:15:00,Odd,2,1,Molde,Skagerak Arena,99120001215,2009
27,04-10-2009,søndag,18:00:00,Lillestrøm,2,1,Lyn Oslo,Åråsen stadion,99120001214,2009
27,04-10-2009,søndag,18:00:00,Aalesund,1,1,Sandefjord,Color Line Stadion,99120001211,2009
27,04-10-2009,søndag,18:00:00,Tromsø,0,2,Brann,Alfheim stadion,99120001213,2009
27,04-10-2009,søndag,18:00:00,Stabæk,2,1,Fredrikstad,Telenor Arena,99120001216,2009
27,04-10-2009,søndag,20:00:00,Rosenborg,2,3,Start,Lerkendal stadion,99120001212,2009
27,05-10-2009,mandag,19:00:00,Vålerenga,3,1,Viking,Ullevaal Stadion,99120001209,2009
28,17-10-2009,lørdag,16:00:00,Molde,4,0,Stabæk,Aker stadion,99120001217,2009
28,18-10-2009,søndag,18:00:00,Sandefjord,2,2,Lillestrøm,Komplett Arena,99120001219,2009
28,18-10-2009,søndag,18:00:00,Viking,0,0,Rosenborg,SR-Bank Arena,99120001220,2009
28,18-10-2009,søndag,18:00:00,Lyn Oslo,0,1,Strømsgodset,Ullevaal Stadion,99120001222,2009
28,18-10-2009,søndag,18:00:00,Start,0,1,Aalesund,Sparebanken Sør Arena,99120001221,2009
28,18-10-2009,søndag,18:00:00,Bodø/Glimt,1,1,Tromsø,Aspmyra Kgb,99120001218,2009
28,18-10-2009,søndag,20:00:00,Brann,1,2,Vålerenga,Brann stadion,99120001223,2009
28,19-10-2009,mandag,19:00:00,Fredrikstad,3,0,Odd,Fredrikstad stadion,99120001224,2009
29,25-10-2009,søndag,18:00:00,Vålerenga,1,2,Sandefjord,Ullevaal Stadion,99120001225,2009
29,25-10-2009,søndag,18:00:00,Strømsgodset,2,1,Viking,Marienlyst stadion,99120001226,2009
29,25-10-2009,søndag,18:00:00,Tromsø,3,1,Start,Alfheim stadion,99120001228,2009
29,25-10-2009,søndag,18:00:00,Stabæk,2,0,Bodø/Glimt,Telenor Arena,99120001231,2009
29,25-10-2009,søndag,18:00:00,Odd,4,1,Lyn Oslo,Skagerak Arena,99120001230,2009
29,25-10-2009,søndag,18:00:00,Fredrikstad,1,2,Molde,Fredrikstad stadion,99120001232,2009
29,25-10-2009,søndag,18:00:00,Rosenborg,2,1,Aalesund,Lerkendal stadion,99120001227,2009
29,25-10-2009,søndag,18:00:00,Lillestrøm,3,1,Brann,Åråsen stadion,99120001229,2009
30,01-11-2009,søndag,18:00:00,Start,2,0,Vålerenga,Sparebanken Sør Arena,99120001237,2009
30,01-11-2009,søndag,18:00:00,Viking,1,0,Tromsø,SR-Bank Arena,99120001236,2009
30,01-11-2009,søndag,18:00:00,Bodø/Glimt,1,1,Odd,Aspmyra Kgb,99120001234,2009
30,01-11-2009,søndag,18:00:00,Lyn Oslo,0,5,Fredrikstad,Ullevaal Stadion,99120001239,2009
30,01-11-2009,søndag,18:00:00,Molde,3,0,Lillestrøm,Aker stadion,99120001233,2009
30,01-11-2009,søndag,18:00:00,Sandefjord,1,3,Stabæk,Komplett Arena,99120001235,2009
30,01-11-2009,søndag,18:00:00,Brann,1,1,Rosenborg,Brann stadion,99120001240,2009
30,01-11-2009,søndag,18:00:00,Aalesund,1,1,Strømsgodset,Color Line Stadion,99120001238,2009
1,13-03-2010,lørdag,17:00:00,Brann,0,0,Haugesund,Brann stadion,99120001002,2010
1,14-03-2010,søndag,18:00:00,Strømsgodset,2,0,Kongsvinger,Marienlyst stadion,99120001003,2010
1,14-03-2010,søndag,18:00:00,Odd,2,3,Stabæk,Skagerak Arena,99120001007,2010
1,14-03-2010,søndag,18:00:00,Aalesund,3,0,Lillestrøm,Color Line Stadion,99120001008,2010
1,14-03-2010,søndag,18:00:00,Tromsø,2,0,Hønefoss,Alfheim stadion,99120001004,2010
1,14-03-2010,søndag,18:00:00,Start,2,0,Sandefjord,Sparebanken Sør Arena,99120001001,2010
1,14-03-2010,søndag,20:00:00,Molde,1,2,Rosenborg,Aker stadion,99120001005,2010
1,15-03-2010,mandag,19:00:00,Vålerenga,2,0,Viking,Ullevaal Stadion,99120001006,2010
2,20-03-2010,lørdag,17:00:00,Stabæk,1,1,Vålerenga,Telenor Arena,99120001011,2010
2,21-03-2010,søndag,18:00:00,Haugesund,2,2,Strømsgodset,Haugesund stadion,99120001016,2010
2,21-03-2010,søndag,18:00:00,Kongsvinger,1,2,Odd,Gjemselund 1 kunstgress,99120001015,2010
2,21-03-2010,søndag,18:00:00,Sandefjord,3,1,Molde,Komplett Arena,99120001009,2010
2,21-03-2010,søndag,18:00:00,Hønefoss,0,2,Aalesund,Aka Arena,99120001014,2010
2,21-03-2010,søndag,18:00:00,Lillestrøm,2,0,Tromsø,Åråsen stadion,99120001010,2010
2,21-03-2010,søndag,20:00:00,Viking,4,0,Brann,SR-Bank Arena,99120001012,2010
2,22-03-2010,mandag,19:00:00,Rosenborg,3,3,Start,Lerkendal stadion,99120001013,2010
3,27-03-2010,lørdag,16:00:00,Start,1,1,Molde,Sparebanken Sør Arena,99120001018,2010
3,28-03-2010,søndag,18:00:00,Lillestrøm,6,0,Hønefoss,Åråsen stadion,99120001017,2010
3,28-03-2010,søndag,18:00:00,Tromsø,1,0,Kongsvinger,Alfheim stadion,99120001021,2010
3,28-03-2010,søndag,18:00:00,Strømsgodset,2,1,Viking,Marienlyst stadion,99120001020,2010
3,28-03-2010,søndag,18:00:00,Aalesund,2,2,Stabæk,Color Line Stadion,99120001024,2010
